period,DMA,sales
2021-12-12,"DALLAS, TX",30.0
2021-12-12,"WACO-TEMPLE, TX",16.0
2021-12-12,"ABILENE, TX",11.0
2021-12-12,"MONROE-ELDORADO, LA",10.0
2021-12-12,"CHARLESTON-HUNTINGTON, WV",27.0
2021-12-12,"GREENVILLE-NEW BERN, NC",30.0
2021-12-12,"BLUEFIELD-BECKLEY, WV",18.0
2021-12-12,"JOPLIN, MO - PITTSBURG, KS",1.0
2021-12-12,"WICHITA-HUTCHINSON, KS",0.0
2021-12-12,"CLARKSBURG-WESTON, WV",0.0
2021-12-12,"GREENWOOD-GREENVILLE, MS",8.0
2021-12-12,"COLUMBUS, OH",0.0
2021-12-12,"SPOKANE, WA",0.0
2021-12-12,"FT SMITH, AR",0.0
2021-12-12,"CLEVELAND, OH",0.0
2021-12-12,"LAS VEGAS, NV",1.0
2021-12-12,"RENO, NV",0.0
2021-12-12,"PALM SPRINGS, CA",5.0
2021-12-12,"SHERMAN-ADA, OK",0.0
2021-12-12,"LOS ANGELES, CA",0.0
2021-12-12,"MEMPHIS, TN",0.0
2021-12-12,"KANSAS CITY, MO",2.0
2021-12-12,"SACRAMENTO, CA",6.0
2021-12-12,"WICHITA FALLS, TX - LAWTON, OK",1.0
2021-12-12,"COLUMBIA-JEFFERSON CITY, MO",2.0
2021-12-12,"MONTEREY-SALINAS, CA",1.0
2021-12-12,"SAN ANTONIO, TX",0.0
2021-12-12,"LAFAYETTE, LA",1.0
2021-12-12,"FRESNO-VISALIA, CA",0.0
2021-12-12,"NEW YORK, NY",981.0
2021-12-12,No DMA,0.0
2021-08-15,"TULSA, OK",8.0
2021-08-15,"AUSTIN, TX",17.0
2021-08-15,"EUREKA, CA",9.0
2021-08-15,"HOUSTON, TX",24.0
2021-08-15,"LUBBOCK, TX",28.0
2021-08-15,"PHOENIX, AZ",33.0
2021-08-15,"AMARILLO, TX",20.0
2021-08-15,"VICTORIA, TX",6.0
2021-08-15,"JONESBORO, AR",6.0
2021-08-15,"ST JOSEPH, MO",6.0
2021-08-15,"ALEXANDRIA, LA",15.0
2021-08-15,"SAN ANGELO, TX",7.0
2021-08-15,"SHREVEPORT, LA",14.0
2021-08-15,"LITTLE ROCK, AR",18.0
2021-08-15,"PARKERSBERG, WV",9.0
2021-08-15,"SPRINGFIELD, MO",21.0
2021-08-15,"LAKE CHARLES, LA",17.0
2021-08-15,"OKLAHOMA CITY, OK",9.0
2021-08-15,"ODESSA-MIDLAND, TX",26.0
2021-08-15,"RALEIGH-DURHAM, NC",14.0
2021-08-15,"TYLER-LONGVIEW, TX",54.0
2021-08-15,"DALLAS, TX",48.0
2021-08-15,"WACO-TEMPLE, TX",20.0
2021-08-15,"ABILENE, TX",19.0
2021-08-15,"MONROE-ELDORADO, LA",10.0
2021-08-15,"CHARLESTON-HUNTINGTON, WV",24.0
2021-08-15,"GREENVILLE-NEW BERN, NC",42.0
2021-08-15,"BLUEFIELD-BECKLEY, WV",13.0
2021-08-15,"JOPLIN, MO - PITTSBURG, KS",1.0
2021-08-15,"WICHITA-HUTCHINSON, KS",1.0
2021-08-15,"CLARKSBURG-WESTON, WV",3.0
2021-08-15,"GREENWOOD-GREENVILLE, MS",9.0
2021-08-15,"COLUMBUS, OH",0.0
2021-08-15,"SPOKANE, WA",0.0
2021-08-15,"FT SMITH, AR",0.0
2021-08-15,"CLEVELAND, OH",2.0
2021-08-15,"LAS VEGAS, NV",2.0
2021-08-15,"RENO, NV",1.0
2021-08-15,"PALM SPRINGS, CA",0.0
2021-08-15,"SHERMAN-ADA, OK",1.0
2021-08-15,"LOS ANGELES, CA",0.0
2021-08-15,"MEMPHIS, TN",2.0
2021-08-15,"KANSAS CITY, MO",3.0
2021-08-15,"SACRAMENTO, CA",5.0
2021-08-15,"WICHITA FALLS, TX - LAWTON, OK",0.0
2021-08-15,"COLUMBIA-JEFFERSON CITY, MO",0.0
2021-08-15,"MONTEREY-SALINAS, CA",0.0
2021-08-15,"SAN ANTONIO, TX",0.0
2021-08-15,"LAFAYETTE, LA",0.0
2021-08-15,"FRESNO-VISALIA, CA",0.0
2021-08-15,"NEW YORK, NY",890.0
2021-08-15,No DMA,0.0
2021-09-05,"TULSA, OK",6.0
2021-09-05,"AUSTIN, TX",9.0
2021-09-05,"EUREKA, CA",11.0
2021-09-05,"HOUSTON, TX",21.0
2021-09-05,"LUBBOCK, TX",14.0
2021-09-05,"PHOENIX, AZ",35.0
2021-09-05,"AMARILLO, TX",17.0
2021-09-05,"VICTORIA, TX",10.0
2021-09-05,"JONESBORO, AR",7.0
2021-09-05,"ST JOSEPH, MO",7.0
2021-09-05,"ALEXANDRIA, LA",10.0
2021-09-05,"SAN ANGELO, TX",8.0
2021-09-05,"SHREVEPORT, LA",15.0
2021-09-05,"LITTLE ROCK, AR",15.0
2021-09-05,"PARKERSBERG, WV",6.0
2021-09-05,"SPRINGFIELD, MO",17.0
2021-09-05,"LAKE CHARLES, LA",15.0
2021-09-05,"OKLAHOMA CITY, OK",17.0
2021-09-05,"ODESSA-MIDLAND, TX",14.0
2021-09-05,"RALEIGH-DURHAM, NC",9.0
2021-09-05,"TYLER-LONGVIEW, TX",41.0
2021-09-05,"DALLAS, TX",29.0
2021-09-05,"WACO-TEMPLE, TX",12.0
2021-09-05,"ABILENE, TX",6.0
2021-09-05,"MONROE-ELDORADO, LA",6.0
2021-09-05,"CHARLESTON-HUNTINGTON, WV",27.0
2021-09-05,"GREENVILLE-NEW BERN, NC",22.0
2021-09-05,"BLUEFIELD-BECKLEY, WV",11.0
2021-09-05,"JOPLIN, MO - PITTSBURG, KS",1.0
2021-09-05,"WICHITA-HUTCHINSON, KS",0.0
2021-09-05,"CLARKSBURG-WESTON, WV",0.0
2021-09-05,"GREENWOOD-GREENVILLE, MS",1.0
2021-09-05,"COLUMBUS, OH",0.0
2021-09-05,"SPOKANE, WA",1.0
2021-09-05,"FT SMITH, AR",0.0
2021-09-05,"CLEVELAND, OH",0.0
2021-09-05,"LAS VEGAS, NV",1.0
2021-09-05,"RENO, NV",0.0
2021-09-05,"PALM SPRINGS, CA",3.0
2021-09-05,"SHERMAN-ADA, OK",0.0
2021-09-05,"LOS ANGELES, CA",0.0
2021-09-05,"MEMPHIS, TN",1.0
