"brand","dma","period","gross_add"
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-09-05,11
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-09-12,7
"Suddenlink","BLUEFIELD-BECKLEY, WV",2021-09-19,15
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-01-03,22
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-01-10,22
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-01-17,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-01-24,41
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-01-31,34
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-02-07,34
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-02-14,34
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-02-21,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-02-28,34
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-03-06,30
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-03-13,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-03-20,18
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-03-27,36
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-04-03,21
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-04-10,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-04-17,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-04-24,27
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-05-01,24
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-05-08,27
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-05-15,56
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-05-22,32
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-05-29,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-06-05,30
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-06-12,32
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-06-19,19
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-06-26,27
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-07-03,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-07-10,27
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-07-17,28
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-07-24,39
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-07-31,28
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-08-07,32
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-08-14,35
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-08-21,24
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-08-28,20
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-09-04,24
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-09-11,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-09-18,22
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-09-25,37
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-10-02,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-10-09,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-10-16,30
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-10-23,18
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-10-30,19
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-11-06,23
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-11-13,32
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-11-20,19
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-11-27,24
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-12-04,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-12-11,20
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-12-18,24
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2016-12-25,27
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-01-01,17
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-01-08,30
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-01-15,22
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-01-22,32
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-01-29,24
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-02-05,36
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-02-12,35
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-02-19,21
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-02-26,24
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-03-05,21
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-03-12,22
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-03-19,23
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-03-26,33
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-04-02,21
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-04-09,23
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-04-16,21
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-04-23,21
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-04-30,23
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-05-07,21
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-05-14,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-05-21,19
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-05-28,15
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-06-04,27
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-06-11,23
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-06-18,13
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-06-25,27
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-07-02,19
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-07-09,16
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-07-16,21
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-07-23,20
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-07-30,29
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-08-06,23
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-08-13,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-08-20,23
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-08-27,28
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-09-03,14
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-09-10,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-09-17,11
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-09-24,34
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-10-01,24
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-10-08,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-10-15,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-10-22,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-10-29,22
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-11-05,22
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-11-12,27
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-11-19,30
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-11-26,13
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-12-03,18
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-12-10,18
