"brand","period","dma","sales"
"Suddenlink",2021-04-11,"ABILENE, TX",17
"Suddenlink",2021-04-18,"ABILENE, TX",10
"Suddenlink",2021-04-25,"ABILENE, TX",32
"Suddenlink",2021-05-02,"ABILENE, TX",11
"Suddenlink",2021-05-09,"ABILENE, TX",18
"Suddenlink",2021-05-16,"ABILENE, TX",18
"Suddenlink",2021-05-23,"ABILENE, TX",8
"Suddenlink",2021-05-30,"ABILENE, TX",4
"Suddenlink",2021-06-06,"ABILENE, TX",19
"Suddenlink",2021-06-13,"ABILENE, TX",10
"Suddenlink",2021-06-20,"ABILENE, TX",13
"Suddenlink",2021-06-27,"ABILENE, TX",11
"Suddenlink",2021-07-04,"ABILENE, TX",17
"Suddenlink",2021-07-11,"ABILENE, TX",11
"Suddenlink",2021-07-18,"ABILENE, TX",18
"Suddenlink",2021-07-25,"ABILENE, TX",13
"Suddenlink",2021-08-01,"ABILENE, TX",10
"Suddenlink",2021-08-08,"ABILENE, TX",18
"Suddenlink",2021-08-15,"ABILENE, TX",19
"Suddenlink",2021-08-22,"ABILENE, TX",24
"Suddenlink",2021-08-29,"ABILENE, TX",15
"Suddenlink",2021-09-05,"ABILENE, TX",6
"Suddenlink",2021-09-12,"ABILENE, TX",13
"Suddenlink",2021-09-19,"ABILENE, TX",14
"Suddenlink",2016-01-03,"ALEXANDRIA, LA",14
"Suddenlink",2016-01-10,"ALEXANDRIA, LA",17
"Suddenlink",2016-01-17,"ALEXANDRIA, LA",7
"Suddenlink",2016-01-24,"ALEXANDRIA, LA",14
"Suddenlink",2016-01-31,"ALEXANDRIA, LA",16
"Suddenlink",2016-02-07,"ALEXANDRIA, LA",10
"Suddenlink",2016-02-14,"ALEXANDRIA, LA",16
"Suddenlink",2016-02-21,"ALEXANDRIA, LA",15
"Suddenlink",2016-02-28,"ALEXANDRIA, LA",12
"Suddenlink",2016-03-06,"ALEXANDRIA, LA",14
"Suddenlink",2016-03-13,"ALEXANDRIA, LA",12
"Suddenlink",2016-03-20,"ALEXANDRIA, LA",16
"Suddenlink",2016-03-27,"ALEXANDRIA, LA",10
"Suddenlink",2016-04-03,"ALEXANDRIA, LA",15
"Suddenlink",2016-04-10,"ALEXANDRIA, LA",13
"Suddenlink",2016-04-17,"ALEXANDRIA, LA",12
"Suddenlink",2016-04-24,"ALEXANDRIA, LA",13
"Suddenlink",2016-05-01,"ALEXANDRIA, LA",13
"Suddenlink",2016-05-08,"ALEXANDRIA, LA",15
"Suddenlink",2016-05-15,"ALEXANDRIA, LA",13
"Suddenlink",2016-05-22,"ALEXANDRIA, LA",10
"Suddenlink",2016-05-29,"ALEXANDRIA, LA",10
"Suddenlink",2016-06-05,"ALEXANDRIA, LA",7
"Suddenlink",2016-06-12,"ALEXANDRIA, LA",10
"Suddenlink",2016-06-19,"ALEXANDRIA, LA",6
"Suddenlink",2016-06-26,"ALEXANDRIA, LA",6
"Suddenlink",2016-07-03,"ALEXANDRIA, LA",13
"Suddenlink",2016-07-10,"ALEXANDRIA, LA",16
"Suddenlink",2016-07-17,"ALEXANDRIA, LA",23
"Suddenlink",2016-07-24,"ALEXANDRIA, LA",20
"Suddenlink",2016-07-31,"ALEXANDRIA, LA",13
"Suddenlink",2016-08-07,"ALEXANDRIA, LA",12
"Suddenlink",2016-08-14,"ALEXANDRIA, LA",8
"Suddenlink",2016-08-21,"ALEXANDRIA, LA",14
"Suddenlink",2016-08-28,"ALEXANDRIA, LA",18
"Suddenlink",2016-09-04,"ALEXANDRIA, LA",9
"Suddenlink",2016-09-11,"ALEXANDRIA, LA",13
"Suddenlink",2016-09-18,"ALEXANDRIA, LA",22
"Suddenlink",2016-09-25,"ALEXANDRIA, LA",13
"Suddenlink",2016-10-02,"ALEXANDRIA, LA",18
"Suddenlink",2016-10-09,"ALEXANDRIA, LA",8
"Suddenlink",2016-10-16,"ALEXANDRIA, LA",15
"Suddenlink",2016-10-23,"ALEXANDRIA, LA",10
"Suddenlink",2016-10-30,"ALEXANDRIA, LA",13
"Suddenlink",2016-11-06,"ALEXANDRIA, LA",11
"Suddenlink",2016-11-13,"ALEXANDRIA, LA",13
"Suddenlink",2016-11-20,"ALEXANDRIA, LA",6
"Suddenlink",2016-11-27,"ALEXANDRIA, LA",9
"Suddenlink",2016-12-04,"ALEXANDRIA, LA",20
"Suddenlink",2016-12-11,"ALEXANDRIA, LA",15
"Suddenlink",2016-12-18,"ALEXANDRIA, LA",4
"Suddenlink",2016-12-25,"ALEXANDRIA, LA",6
"Suddenlink",2017-01-01,"ALEXANDRIA, LA",8
"Suddenlink",2017-01-08,"ALEXANDRIA, LA",19
"Suddenlink",2017-01-15,"ALEXANDRIA, LA",17
"Suddenlink",2017-01-22,"ALEXANDRIA, LA",10
"Suddenlink",2017-01-29,"ALEXANDRIA, LA",16
"Suddenlink",2017-02-05,"ALEXANDRIA, LA",14
"Suddenlink",2017-02-12,"ALEXANDRIA, LA",21
"Suddenlink",2017-02-19,"ALEXANDRIA, LA",20
"Suddenlink",2017-02-26,"ALEXANDRIA, LA",13
